rank,name,area,business_type,phone,maps_url,facebook_url,website_url,rating,review_count,social_activity,owner_name,owner_phone_visible,score_tf,score_pg,score_rs,score_or,score_pd,composite,reasoning
15,Cutting Class BF Homes,BF Homes Paranaque,barbershop,,https://www.google.com/maps/search/Cutting+Class+BF+Homes+Paranaque,https://www.facebook.com/profile.php?id=61569545522953,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit. Zero reviews, zero photos, no rating signals nearly invisible. FB page exists but bare. No phone, no owner name."
16,Malabanan Siphoneng and Plumbing Services,BF Homes Paranaque,plumber,,https://www.google.com/maps/search/Malabanan+Siphoneng+Plumbing+Services+Paranaque,https://www.facebook.com/100068170842620/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match as plumber but thin profile: zero reviews, zero photos, only low-activity FB page. No phone or owner name. Plumbing moderately common in BF Homes."
17,Lozada's Water Tank Specialist & Plumbing Services,BF Homes Paranaque,plumber,,https://www.google.com/maps/search/Lozada+Water+Tank+Plumbing+Services+Paranaque,https://www.facebook.com/generalservices1976.net/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match (plumber). Zero reviews, zero photos, zero rating on FB. No phone or owner name. FB handle generalservices1976 hints at ~50 years in business."
18,But First Coffee (BFC) - Better Living,Better Living,cafe,,https://www.google.com/maps/search/But+First+Coffee+Better+Living+Para%C3%B1aque,https://www.facebook.com/butfirstcoffeebetterliving/,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. FB page exists with low activity, zero reviews/photos. No phone, no owner name. BFC is recognizable brand name but branch has zero Google presence."
19,3SM Electrical Services,BF Homes Paranaque,electrician,,https://www.google.com/maps/search/3SM+Electrical+Services+Paranaque,https://www.facebook.com/people/3SM-Electrical-Services/61587617382505/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match (electrician = trades template). FB page exists but low activity with zero reviews, zero photos, zero rating. No phone or owner name visible."
20,3SM Electrical Services,Don Bosco,electrician,,https://www.google.com/maps/search/3SM+Electrical+Services+Parañaque,https://www.facebook.com/people/3SM-Electrical-Services/61587617382505/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. Near-zero online presence. No reviews, no photos, no rating. Low social, no phone. FB page essentially ghost page."
21,JPC Electrical Service,Don Bosco (Sucat area),electrician,,https://www.google.com/maps/search/JPC+Electrical+Service+Dr+Arcadio+Santos+Ave+Parañaque,https://www.facebook.com/share/1HSmVY2jte/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page exists but low activity. Zero reviews, zero photos, zero rating. No phone or owner name. FB page messageable."
22,Presko Coffee BLS,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/Presko+Coffee+BLS,,,0,0,low,,False,5,3,1,2,3,30,"Perfect cafe template fit. Zero reviews, zero photos, zero rating. Low social with no website. No phone or owner name."
23,Better Barbers,Better Living,barbershop,,https://www.google.com/maps/place/Better+Barbers/data=!4m7!3m6!1s0x3397cfd8c9cb0b59:0x9d3f5a890d501bb4!8m2!3d14.4848881!4d121.0387716!16s%2Fg%2F11gjsfvxps,https://m.facebook.com/BetterBarbersPH/,,0,0,low,,False,5,3,1,2,3,30,"Exact barbershop template match. Zero Google reviews, zero photos, no rating. FB page exists with low activity. No phone, no owner name."
24,Noriel Plumbing Services,Better Living,plumber,,https://www.google.com/maps/search/Noriel+Plumbing+Services+1127+Aguirre+Ave+BF+Homes+Para%C3%B1aque,https://www.facebook.com/norielplumbingservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact plumber template match. Near-zero online footprint: no reviews, no photos, no rating. FB page exists with low activity. No phone or owner name."
25,Better Barbers,Don Bosco,barbershop,,https://www.google.com/maps/place/Better+Barbers,https://m.facebook.com/BetterBarbersPH/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page exists but zero reviews, zero photos, low activity. Zero revenue signals make high-risk. Strong branding though."
26,JMB Plumbing Services,Better Living,plumber,,https://www.google.com/maps/search/JMB+Plumbing+Services+Para%C3%B1aque,https://www.facebook.com/JMB1207/,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit (plumber). Mid-tier presence gap: no website but FB exists. Zero reviews, zero photos. No phone, no owner name."
27,Dirk's Cut Studio,Don Bosco (Better Living),barbershop,,https://www.google.com/maps/search/Dirk's+Cut+Studio+Parañaque,https://www.facebook.com/people/Dirks-Cut-Studio/61567080249311/,,0,0,medium,,False,5,3,1,2,3,30,"Exact barbershop template match. No website. Zero reviews, zero photos. No phone, no owner name. People-format FB page rather than proper business page."
28,Paranaque Plumbing & Electrical Services,San Isidro,plumber,,,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page ghost town: zero reviews, zero photos, low activity. No phone, no owner name. FB cold message possible."
29,Dirk's Cut Studio,Don Bosco,barbershop,,https://www.google.com/maps/place/Dirk's+Cut+Studio,https://www.facebook.com/profile.php?id=61567080249311,,0,0,low,,False,5,3,1,2,4,30,"Exact template match. FB page but no website, low activity. Zero reviews, zero photos. No phone, no owner. Don Bosco underrepresented for barbershops."
30,Better Barbers,Don Bosco (Better Living),barbershop,,https://www.google.com/maps/search/Better+Barbers+27+Doña+Soledad+Brgy+Don+Bosco+Parañaque,https://www.facebook.com/BetterBarbersPH/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page but zero website, low activity. Zero reviews, zero photos, zero rating. No phone, no owner. FB page messageable."
31,The Rossie Bean - Betterliving,Don Bosco (Better Living),café,,"https://www.google.com/maps/place/The+Rossie+Bean+-+Betterliving/@14.4829959,121.0198139,17z",https://www.facebook.com/TheRossieBean19/,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. Zero reviews, zero photos, zero rating. FB page exists but low activity. No phone, no owner name. FB page messageable."
32,Tubero Express PH Plumbing + Declogging Services,San Isidro,plumber,,https://www.google.com/maps/place/Tubero+Express+PH+Plumbing+%2B+Declogging+Services,https://www.facebook.com/tuberoexpressph/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page but no website, low social. Zero reviews, zero photos. No phone, no owner name. FB page messageable."
33,"Casa Barbero - San Isidro, Sucat","San Isidro, Parañaque",barbershop,,"https://www.google.com/maps/place/Casa+Barbero+-+San+Isidro,+Sucat",https://www.facebook.com/cbsanisidrosucat/,,0,0,low,,False,5,3,1,2,3,30,"Exact barbershop template match. FB page with low activity, no website. Zero reviews, zero photos. No phone, no owner. FB page messageable."
34,Convo Coffee House,"San Isidro, Parañaque",café,,https://www.google.com/maps/place/Convo+Coffee+House,https://www.facebook.com/ConvoCoffeeHouseInc/,,0,0,low,,False,5,3,1,2,3,30,"Cafe exact template match. Revenue signals nonexistent: zero Google reviews, zero photos, zero rating. FB page exists but low activity. No phone or owner name."
35,S + Coffee (Sidewalk + Coffee),Sucat (San Isidro),cafe,,https://maps.google.com/?q=S+Coffee+Sidewalk+Coffee+Fortunata+Village+Paranaque,,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit. Low social with no website is real gap. Zero reviews, zero photos. No phone, no owner name, no FB URL. Only Maps pin."
36,"Kape Bodega - San Isidro, Sucat",San Isidro,café,,"https://www.google.com/maps/place/Kape+Bodega+-+San+Isidro,+Sucat",https://www.facebook.com/kapebodega,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. FB page exists but zero reviews, zero photos. No phone, no owner name. FB page messageable."
37,Noriel Plumbing Services,Sucat (BF Homes),plumber,,https://maps.google.com/?q=Noriel+Plumbing+Services+BF+Homes+Paranaque,https://www.facebook.com/norielplumbingservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page exists but low activity. Zero reviews, zero photos. No phone, no owner name. FB page reachable via Messenger."
38,Paranaque Plumbing & Electrical Services,Sucat (San Antonio Valley 6),plumber,,https://maps.google.com/?q=Paranaque+Plumbing+Electrical+Services+San+Antonio+Valley+6,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. Nearly invisible online. FB page exists with low activity. Zero reviews, zero photos. No phone, no owner name."
39,JPC Electrical Service,Sucat (San Isidro),electrician,,https://maps.google.com/?q=JPC+Electrical+Service+Dr+Arcadio+Santos+Ave+Paranaque,https://www.facebook.com/share/1HSmVY2jte/,,0,0,low,,False,5,3,1,2,3,30,"Electrician exact template match. FB page exists but bare shell: no photos, no reviews, zero posts. No phone or owner name. FB page messageable."
40,Paranaque Plumbing & Electrical Services,San Antonio (Valley 6),plumber,,,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit. FB page but low activity, zero reviews, zero photos. No phone, no owner name. FB page messageable."
