rank,name,area,business_type,phone,maps_url,facebook_url,website_url,rating,review_count,social_activity,owner_name,owner_phone_visible,score_tf,score_pg,score_rs,score_or,score_pd,composite,reasoning
15,Cutting Class BF Homes,BF Homes Paranaque,barbershop,,https://www.google.com/maps/search/Cutting+Class+BF+Homes+Paranaque,https://www.facebook.com/profile.php?id=61569545522953,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit. Zero reviews, zero photos, no rating signals nearly invisible. FB page exists but bare. No phone, no owner name."
16,Malabanan Siphoneng and Plumbing Services,BF Homes Paranaque,plumber,,https://www.google.com/maps/search/Malabanan+Siphoneng+Plumbing+Services+Paranaque,https://www.facebook.com/100068170842620/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match as plumber but thin profile: zero reviews, zero photos, only low-activity FB page. No phone or owner name. Plumbing moderately common in BF Homes."
17,Lozada's Water Tank Specialist & Plumbing Services,BF Homes Paranaque,plumber,,https://www.google.com/maps/search/Lozada+Water+Tank+Plumbing+Services+Paranaque,https://www.facebook.com/generalservices1976.net/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match (plumber). Zero reviews, zero photos, zero rating on FB. No phone or owner name. FB handle generalservices1976 hints at ~50 years in business."
18,But First Coffee (BFC) - Better Living,Better Living,cafe,,https://www.google.com/maps/search/But+First+Coffee+Better+Living+Para%C3%B1aque,https://www.facebook.com/butfirstcoffeebetterliving/,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. FB page exists with low activity, zero reviews/photos. No phone, no owner name. BFC is recognizable brand name but branch has zero Google presence."
19,3SM Electrical Services,BF Homes Paranaque,electrician,,https://www.google.com/maps/search/3SM+Electrical+Services+Paranaque,https://www.facebook.com/people/3SM-Electrical-Services/61587617382505/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match (electrician = trades template). FB page exists but low activity with zero reviews, zero photos, zero rating. No phone or owner name visible."
20,3SM Electrical Services,Don Bosco,electrician,,https://www.google.com/maps/search/3SM+Electrical+Services+Parañaque,https://www.facebook.com/people/3SM-Electrical-Services/61587617382505/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. Near-zero online presence. No reviews, no photos, no rating. Low social, no phone. FB page essentially ghost page."
21,JPC Electrical Service,Don Bosco (Sucat area),electrician,,https://www.google.com/maps/search/JPC+Electrical+Service+Dr+Arcadio+Santos+Ave+Parañaque,https://www.facebook.com/share/1HSmVY2jte/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page exists but low activity. Zero reviews, zero photos, zero rating. No phone or owner name. FB page messageable."
22,Presko Coffee BLS,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/Presko+Coffee+BLS,,,0,0,low,,False,5,3,1,2,3,30,"Perfect cafe template fit. Zero reviews, zero photos, zero rating. Low social with no website. No phone or owner name."
23,Better Barbers,Better Living,barbershop,,https://www.google.com/maps/place/Better+Barbers/data=!4m7!3m6!1s0x3397cfd8c9cb0b59:0x9d3f5a890d501bb4!8m2!3d14.4848881!4d121.0387716!16s%2Fg%2F11gjsfvxps,https://m.facebook.com/BetterBarbersPH/,,0,0,low,,False,5,3,1,2,3,30,"Exact barbershop template match. Zero Google reviews, zero photos, no rating. FB page exists with low activity. No phone, no owner name."
24,Noriel Plumbing Services,Better Living,plumber,,https://www.google.com/maps/search/Noriel+Plumbing+Services+1127+Aguirre+Ave+BF+Homes+Para%C3%B1aque,https://www.facebook.com/norielplumbingservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact plumber template match. Near-zero online footprint: no reviews, no photos, no rating. FB page exists with low activity. No phone or owner name."
25,Better Barbers,Don Bosco,barbershop,,https://www.google.com/maps/place/Better+Barbers,https://m.facebook.com/BetterBarbersPH/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page exists but zero reviews, zero photos, low activity. Zero revenue signals make high-risk. Strong branding though."
26,JMB Plumbing Services,Better Living,plumber,,https://www.google.com/maps/search/JMB+Plumbing+Services+Para%C3%B1aque,https://www.facebook.com/JMB1207/,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit (plumber). Mid-tier presence gap: no website but FB exists. Zero reviews, zero photos. No phone, no owner name."
27,Dirk's Cut Studio,Don Bosco (Better Living),barbershop,,https://www.google.com/maps/search/Dirk's+Cut+Studio+Parañaque,https://www.facebook.com/people/Dirks-Cut-Studio/61567080249311/,,0,0,medium,,False,5,3,1,2,3,30,"Exact barbershop template match. No website. Zero reviews, zero photos. No phone, no owner name. People-format FB page rather than proper business page."
28,Paranaque Plumbing & Electrical Services,San Isidro,plumber,,,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page ghost town: zero reviews, zero photos, low activity. No phone, no owner name. FB cold message possible."
29,Dirk's Cut Studio,Don Bosco,barbershop,,https://www.google.com/maps/place/Dirk's+Cut+Studio,https://www.facebook.com/profile.php?id=61567080249311,,0,0,low,,False,5,3,1,2,4,30,"Exact template match. FB page but no website, low activity. Zero reviews, zero photos. No phone, no owner. Don Bosco underrepresented for barbershops."
30,Better Barbers,Don Bosco (Better Living),barbershop,,https://www.google.com/maps/search/Better+Barbers+27+Doña+Soledad+Brgy+Don+Bosco+Parañaque,https://www.facebook.com/BetterBarbersPH/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page but zero website, low activity. Zero reviews, zero photos, zero rating. No phone, no owner. FB page messageable."
31,The Rossie Bean - Betterliving,Don Bosco (Better Living),café,,"https://www.google.com/maps/place/The+Rossie+Bean+-+Betterliving/@14.4829959,121.0198139,17z",https://www.facebook.com/TheRossieBean19/,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. Zero reviews, zero photos, zero rating. FB page exists but low activity. No phone, no owner name. FB page messageable."
32,Tubero Express PH Plumbing + Declogging Services,San Isidro,plumber,,https://www.google.com/maps/place/Tubero+Express+PH+Plumbing+%2B+Declogging+Services,https://www.facebook.com/tuberoexpressph/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page but no website, low social. Zero reviews, zero photos. No phone, no owner name. FB page messageable."
33,"Casa Barbero - San Isidro, Sucat","San Isidro, Parañaque",barbershop,,"https://www.google.com/maps/place/Casa+Barbero+-+San+Isidro,+Sucat",https://www.facebook.com/cbsanisidrosucat/,,0,0,low,,False,5,3,1,2,3,30,"Exact barbershop template match. FB page with low activity, no website. Zero reviews, zero photos. No phone, no owner. FB page messageable."
34,Convo Coffee House,"San Isidro, Parañaque",café,,https://www.google.com/maps/place/Convo+Coffee+House,https://www.facebook.com/ConvoCoffeeHouseInc/,,0,0,low,,False,5,3,1,2,3,30,"Cafe exact template match. Revenue signals nonexistent: zero Google reviews, zero photos, zero rating. FB page exists but low activity. No phone or owner name."
35,S + Coffee (Sidewalk + Coffee),Sucat (San Isidro),cafe,,https://maps.google.com/?q=S+Coffee+Sidewalk+Coffee+Fortunata+Village+Paranaque,,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit. Low social with no website is real gap. Zero reviews, zero photos. No phone, no owner name, no FB URL. Only Maps pin."
36,"Kape Bodega - San Isidro, Sucat",San Isidro,café,,"https://www.google.com/maps/place/Kape+Bodega+-+San+Isidro,+Sucat",https://www.facebook.com/kapebodega,,0,0,low,,False,5,3,1,2,3,30,"Exact cafe template match. FB page exists but zero reviews, zero photos. No phone, no owner name. FB page messageable."
37,Noriel Plumbing Services,Sucat (BF Homes),plumber,,https://maps.google.com/?q=Noriel+Plumbing+Services+BF+Homes+Paranaque,https://www.facebook.com/norielplumbingservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. FB page exists but low activity. Zero reviews, zero photos. No phone, no owner name. FB page reachable via Messenger."
38,Paranaque Plumbing & Electrical Services,Sucat (San Antonio Valley 6),plumber,,https://maps.google.com/?q=Paranaque+Plumbing+Electrical+Services+San+Antonio+Valley+6,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. Nearly invisible online. FB page exists with low activity. Zero reviews, zero photos. No phone, no owner name."
39,JPC Electrical Service,Sucat (San Isidro),electrician,,https://maps.google.com/?q=JPC+Electrical+Service+Dr+Arcadio+Santos+Ave+Paranaque,https://www.facebook.com/share/1HSmVY2jte/,,0,0,low,,False,5,3,1,2,3,30,"Electrician exact template match. FB page exists but bare shell: no photos, no reviews, zero posts. No phone or owner name. FB page messageable."
40,Paranaque Plumbing & Electrical Services,San Antonio (Valley 6),plumber,,,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,3,1,2,3,30,"Perfect template fit. FB page but low activity, zero reviews, zero photos. No phone, no owner name. FB page messageable."
41,DECADES BARBERSHOP,San Antonio Valley 1,barbershop,,"https://www.google.com/maps/place/DECADES+BARBERSHOP,+Plaza+San+Antonio,+San+Antonio+Ave,+San+Antonio+Valley+1,+Parañaque,+1715",https://www.facebook.com/decadesbarbers,,0,0,low,,False,5,3,1,2,3,30,"Exact barbershop template fit. Zero reviews, zero photos, zero rating. Low FB activity. No phone or owner name. FB Messenger only outreach."
42,Roadside Cafe,San Isidro,café,,https://www.google.com/maps/place/Roadside+Cafe,,,0,0,low,,False,5,3,1,2,3,30,"Exact template match. Low social with no website but Maps listing exists. Zero reviews, zero photos. No phone, no owner. Ghost online."
43,D Phileo Barbershop,Don Bosco (United Better Living),barbershop,,https://www.google.com/maps/search/D+Phileo+Barbershop+Sucat+Parañaque,https://www.facebook.com/profile.php/?id=100075679523480,,0,0,medium,,False,5,3,1,2,2,29,"Exact barbershop template match. Medium FB activity but zero website, zero Maps presence. No reviews, no rating, no photos. No phone or owner name."
44,Malabanan Siphoning Parañaque,San Antonio (serves all Parañaque),electrician,,,,,0,0,low,,False,5,2,1,2,4,29,"Template fit 5 (septic/plumbing maps to trades template). Near-invisible online footprint. Zero reviews, zero photos. Niche sub-vertical not yet in pipeline."
45,Paranaque Plumbing & Electrical Services,BF Homes Paranaque,plumber,,https://www.google.com/maps/search/Paranaque+Plumbing+Electrical+Services+San+Antonio+Valley+6,https://www.facebook.com/pqueplumbingandelectricalservices/,,0,0,low,,False,5,2,1,2,3,28,"Perfect template fit (trades template covers plumber + electrician). FB page exists with low activity, zero reviews, zero photos. No owner phone visible."
46,Haya Kape.,San Antonio (Fourth Estate),cafe,,"https://www.google.com/maps/place/Haya+Kape./@14.48,121.01,17z",,,0,0,low,,False,5,2,1,2,3,28,"Exact template match. Near-zero online footprint: 0 reviews, 0 photos, 0 rating, low social, no phone, no website. Fourth Estate is distinct pocket."
47,Bobby's Barber Shop BF Homes,BF Homes Paranaque,barbershop,,https://www.google.com/maps/search/Bobby's+Barber+Shop+333+Aguirre+Ave+BF+Homes+Paranaque,https://www.facebook.com/Bbsbfhomes/,,0,0,low,,False,5,2,1,2,3,28,"Perfect template fit -- barbershop_template.html ready. Facebook page exists but ghost town: 0 reviews, 0 photos, low activity. Barbershops in BF Homes moderately common volume play."
48,Kapetol Premium Coffee,Sucat (Better Living),cafe,,https://maps.google.com/?q=Kapetol+Premium+Coffee+Dona+Soledad+Paranaque,,,0,0,low,,False,5,2,1,2,3,28,"Perfect template fit as cafe. Nearly invisible online. No reviews, no photos, no rating, no website. Low-activity page with no owner name or phone."
49,Faded Barbershop,BF Homes Paranaque,barbershop,,https://www.google.com/maps/search/Faded+Barbershop+BF+Homes+Paranaque,https://www.facebook.com/FadedBarbershopBfHomes/,,0,0,low,,False,5,2,1,2,3,28,"Exact template match (barbershop). Weak presence gap -- FB page exists but low activity. Zero reviews, zero photos. No phone, no name. Barbershops a volume play in BF Homes."
50,Noriel Plumbing Services,BF Homes Paranaque,plumber,,https://www.google.com/maps/search/Noriel+Plumbing+Services+1127+Aguirre+Ave+Paranaque,https://www.facebook.com/norielplumbingservices/,,0,0,low,,False,5,2,1,2,3,28,"Exact template match (trades=plumber) carries score despite weak presence. FB page exists but zero reviews, zero photos, low activity. No phone anywhere."
51,Zovala Barbershop,Sucat (Better Living),barbershop,,https://maps.google.com/?q=Zovala+Barbershop+Saudi+Arabia+Better+Living+Paranaque,,,0,0,low,,False,5,3,1,1,3,28,"Exact template match. Low social with no website moderate gap. Zero reviews, zero photos. No phone, no owner, no FB URL. Cold walk-in only."
52,97 Barbers,Better Living,barbershop,,https://www.google.com/maps/place/97+Barbers/data=!4m7!3m6!1s0x3397cfed559c21e3:0x1ce1fe64cdd6ad04!8m2!3d14.4889271!4d121.0210498!16s%2Fg%2F11krrjznwn,,,0,0,low,,False,5,3,1,1,3,28,"Exact template match. Moderate presence gap -- no website, low social. Rock-bottom revenue signals: zero reviews, zero photos. No phone, no owner name."
53,Brian's City Barbers,San Antonio,barbershop,,"https://www.google.com/maps/place/Brian's+City+Barbers,+10+San+Antonio+Ave,+San+Antonio,+Parañaque,+1715",https://www.facebook.com/BriansCityBarbers,,0,0,low,,False,5,2,1,2,3,28,"Exact template match. FB page exists but low activity with zero photos, zero reviews. No phone, no owner name. FB page is messageable."
54,Barako Barbershop,Don Bosco (Better Living),barbershop,,https://www.google.com/maps/search/Barako+Barbershop+18+France+St+Better+Living+Parañaque,https://www.facebook.com/barakobarbershop/,,0,0,low,,False,5,3,1,2,1,28,"Exact barbershop template match. Near-zero online footprint. Zero reviews, zero photos, no phone. Don Bosco/Better Living saturated with barbershop prospects."
55,Brusko Barbers,San Isidro,barbershop,,https://www.google.com/maps/place/Brusko+Barbers,,,0,0,low,,False,5,2,1,2,3,28,"Perfect template fit. Nearly invisible online: zero reviews, zero photos, no website, low social. San Isidro not one of saturated areas."
56,Cafe Grazia - Betterliving Branch,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/Cafe+Grazia,https://www.facebook.com/p/Cafe-Grazia-Betterliving-Branch-61559595880540/,,0,0,low,,False,5,3,1,1,3,28,"Exact cafe template match. Zero reviews, zero photos, zero rating. Low social. No phone, no owner. Betterliving Branch suggests chain operation."
57,JPC Electrical Service,San Isidro,electrician,,https://www.google.com/maps/place/JPC+Electrical+Service,https://www.facebook.com/jpcelectricalservice/,,0,0,low,,False,5,2,1,2,3,28,"Perfect template fit. FB page exists with low activity, zero reviews, zero photos. No phone, no owner name. Only reachable via FB message."
58,Noriel Plumbing Services,"San Antonio (BF Homes, serves Parañaque-wide)",electrician,,,,,0,0,low,,False,5,2,1,2,3,28,"Exact template match but nearly invisible online. Zero reviews, zero photos, no FB URL, no phone, owner unknown."
59,Concordia's Cafe,BF Homes Paranaque,cafe,,https://www.google.com/maps/search/Concordia's+Cafe+106+Aguirre+Ave+BF+Homes+Paranaque,https://www.facebook.com/concordiascafe/,,0,0,low,,False,5,3,1,2,1,28,"Perfect template fit (5 -- exact cafe match) but dragged down by everything else. Presence gap is moderate (3 -- Facebook page exists but barren). Revenue signals are rock-bottom (1 -- zero reviews, zero photos). Owner unreachable (2 -- no phone, no owner name, FB page exists but looks inactive). Portfolio diversity poor (1 -- Aguirre Ave saturated with cafes)."
60,MK Cafe,BF Homes Paranaque,cafe,,https://www.google.com/maps/search/MK+Cafe+190+Aguirre+Ave+BF+Homes+Paranaque,https://www.facebook.com/mkcafebf/,,0,0,low,,False,5,2,1,2,2,27,"Exact template match but weak across all dimensions. Low social activity with no website. Zero reviews, zero photos on Maps. BF Homes Aguirre Ave densely packed with cafes."
61,JAT Malabanan Siphoning and Plumbing Service,San Antonio (serves all Parañaque),plumber,,"https://www.google.com/maps/place/F2RC%2B8VR+JAT+Malabanan+Siphoning+and+Plumbing+Service,+Parañaque,+Metro+Manila",,,0,0,low,,False,5,2,1,1,3,26,"Perfect template match but near-zero online presence. No website, no FB, 0 reviews, 0 photos. No phone, no owner. Bare listing at best."
62,SIRE Electrical Solutions Inc.,Better Living,electrician,,https://www.google.com/maps/place/SIRE+Electrical+Solutions+Inc./data=!4m7!3m6!1s0x3397cfb2771c4a23:0xc5abab62a4783f3c!8m2!3d14.4880377!4d121.0079355!16s%2Fg%2F11z5c_y_cc,,,0,0,low,,False,5,2,1,1,3,26,"Perfect template fit but near-invisible online: bare Maps listing with zero reviews, zero photos, no FB, no Instagram, no website. Inc. makes credibility gap glaring."
63,Electrician On-Call And Home Services (EOCAHS),Sucat (San Isidro),electrician,,https://maps.google.com/?q=Electrician+On+Call+And+Home+Services+Paranaque,,,0,0,low,,False,5,2,1,1,3,26,"Exact template match. Near-zero online presence: no reviews, no photos, no FB, bare Maps listing. Completely unreachable with no phone or owner info."
64,Suave Cut and Shave Barbershop - Sucat Branch,"San Isidro, Parañaque",barbershop,,https://www.google.com/maps/place/Suave+Cut+and+Shave+Barbershop+-+Sucat+Branch,,,0,0,low,,False,5,2,1,1,3,26,"Template fit perfect. No website, no FB, bare Maps listing. Zero reviews, zero photos. No phone, no owner. Branch designation suggests chain dynamics."
65,Tubero Express PH Plumbing + Declogging Services,Sucat (Parañaque-wide),plumber,,https://maps.google.com/?q=Tubero+Express+PH+Plumbing+Paranaque,,,0,0,low,,False,5,2,1,1,3,26,"Exact template match but near-zero digital footprint. No reviews, no photos, no phone, no website. Paranaque-wide service claim on Maps."
66,S + Coffee (Sidewalk + Coffee),"San Isidro, Parañaque",café,,https://www.google.com/maps/place/S+%2B+Coffee+%28Sidewalk+%2B+Coffee%29,,,0,0,low,,False,5,2,1,1,3,26,"Exact cafe template match. Zero reviews, zero photos, no FB presence. Maps listing bare. No phone, no owner. High-risk prospect."
67,Electrician Paranaque City,BF Homes Paranaque,electrician,,https://www.google.com/maps/search/Electrician+Paranaque+City,https://www.facebook.com/100092417419214/,,0,0,low,,False,5,2,1,2,3,26,"Electrician exact template match. Bare FB page with numeric ID, zero reviews, zero photos. FB page uses raw numeric ID suggesting auto-generated or unclaimed."
68,Boss TOM barbershop,San Antonio (Fourth Estate),barbershop,,"https://www.google.com/maps/place/Boss+TOM+barbershop,+13+MASTHEAD+ST+fourth+estate+san+antonio+paranaque+city,+San+Antonio,+1700",,,0,0,low,,False,5,2,1,1,3,26,"Barbershop exact template match. Zero reviews, zero photos, zero rating. Low social, no phone, no owner. Fourth Estate outside main BF/Sucat cluster."
69,Kapetol premium coffee,Don Bosco,café,,https://www.google.com/maps/place/Kapetol+premium+coffee,,,0,0,low,,False,5,2,1,1,3,26,"Perfect template fit but nearly invisible online. Zero reviews, zero photos, low social, no website. No phone or owner name. Walk-in pitch only."
70,IKE LOZADA PLUMBING SERVICES,San Antonio (IPIL VILLE),plumber,,"https://www.google.com/maps/place/IKE+LOZADA+PLUMBING+SERVICES,+IPIL+VILLE,+Parañaque,+1720",,,0,0,low,,False,5,2,1,1,3,26,"Perfect template fit but weak everywhere else. Zero reviews, zero photos. Owner name (Ike Lozada) right in business name gives natural personal opener."
71,SIRE Electrical Solutions Inc.,San Isidro,electrician,,https://www.google.com/maps/place/SIRE+Electrical+Solutions+Inc.,,,0,0,low,,False,5,2,1,1,3,26,"Electrician exact template match. Low social with no website. Zero reviews, zero photos. No phone, no owner. Registered Inc. with zero online credibility."
72,Ream Electrical Services,San Isidro,electrician,,https://www.google.com/maps/place/Ream+Electrical+services,,,0,0,low,,False,5,2,1,1,3,26,"Electrician exact template match. Bare Maps listing with zero reviews, zero photos. No FB, no phone, no owner. Nearly invisible online."
73,"C.D. Dumol Electrical Construction, Inc.",Better Living,electrician,,"https://www.google.com/maps/place/C.D.+Dumol+Electrical+Construction,+Inc./data=!4m7!3m6!1s0x3397cefa3644b455:0x60d7cd09bbe20e21!8m2!3d14.4862718!4d121.0249583!16s%2Fg%2F11bzvwmymz",,,0,0,low,,False,5,2,1,1,3,26,"Exact template match. Bare Maps listing, no website, no FB, no reviews, no photos. No phone, no owner name. Inc. designation suggests established company."
74,Solily Cafe Ph,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/Solily+Cafe+Ph,,,0,0,low,,False,5,2,1,1,3,26,"Exact cafe template match. Almost no online footprint. Zero reviews, zero photos, no FB/Instagram. Bare Maps listing only."
75,Mr. Quickie Betterliving,Better Living,plumber,,https://www.google.com/maps/search/Mr+Quickie+Betterliving+Para%C3%B1aque,,,0,0,low,,False,5,2,1,1,3,26,"Perfect template match but near-zero online signals. Mr. Quickie is a franchise chain, branch manager likely has no website budget authority."
76,Tubero Express PH Plumbing + Declogging Services,Better Living,plumber,,https://www.google.com/maps/search/Tubero+Express+PH+Para%C3%B1aque,,,0,0,low,,False,5,2,1,1,3,26,"Exact template match. Barely any social presence with no website. Zero reviews or photos. No phone or owner name anywhere."
77,The Slick-Groove Barbershop,Better Living,barbershop,,https://www.google.com/maps/place/The+Slick-Groove+Barbershop/data=!4m7!3m6!1s0x3397cf071b938ea3:0xd6d891c77f651b67!8m2!3d14.484482!4d121.021519!16s%2Fg%2F11xccv4_3z,,,0,0,low,,False,5,2,1,1,3,26,"Perfect template fit. Near-zero online presence: no website, low social activity, no reviews, no photos, no phone. Maps listing exists but dead shell."
78,Brew'd Camp Cafe,Sucat (Better Living),cafe,,https://maps.google.com/?q=Brewd+Camp+Cafe+Better+Living+Paranaque,,,0,0,low,,False,5,2,1,1,3,26,"Cafe exact template match but almost no digital footprint. Zero reviews, zero photos, no FB URL. Distinctive camp theme branding opportunity."
79,JAT Malabanan Siphoning and Plumbing Service,San Isidro,plumber,,https://www.google.com/maps/place/JAT+Malabanan+Siphoning+and+Plumbing+Service,,,0,0,low,,False,5,2,1,1,3,26,"Perfect template fit. Near-zero online presence. No website, low social, but Maps listing exists. Zero reviews, zero photos. No phone, no owner."
80,Fat Milo's Place,"Better Living, Don Bosco",café,,https://www.google.com/maps/place/Fat+Milo's+Place,,,0,0,low,,False,5,1,1,2,3,26,"Cafe exact template match. Zero online presence drags presence gap to 1. No reviews/photos. No phone/owner info. Low social only."
81,Better Barbers,Sucat (Better Living),barbershop,,https://maps.google.com/?q=Better+Barbers+Dona+Soledad+Better+Living+Paranaque,,,0,0,low,,False,5,1,1,1,4,25,"Perfect template fit but ghost online. Zero reviews, zero photos, no FB or Instagram. Better Living is target cluster for barbershop volume play."
82,Nautical Cut Barber Shop,Better Living,barbershop,,https://www.google.com/maps/place/Nautical+Cut+Barber+Shop/data=!4m7!3m6!1s0x3397cf6d876ba9ab:0x36cb13a98349b879!8m2!3d14.4847566!4d121.0391621!16s%2Fg%2F11vxt33_ww,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template match but ghost: zero reviews, zero photos, no FB, no Instagram, no phone, no owner name. Zero online presence at all."
83,Supremo Barbers - Sucat,"San Isidro, Parañaque",barbershop,,https://www.google.com/maps/place/Supremo+Barbers+-+Sucat,,,0,0,low,,False,5,1,1,1,3,24,"Perfect template fit but crippled by zero online presence. No FB, no Instagram, no reviews, no photos, no phone, no owner. Ghost online."
